Country,Province,City,Temperature,Feels_Like,Min_Temp,Max_Temp,Humidity,Pressure,Wind_Speed,Cloudiness,Description,Longitude,Latitude,Sunrise,Sunset,Error
Pakistan,Balochistan,Zhob,29.11,27.5,29.11,29.11,18.0,1004.0,5.28,0.0,Clear sky,69.4481,31.3411,06:06 AM,06:28 PM,
Pakistan,Balochistan,Khuzdar,30.83,28.84,30.83,30.83,17.0,1004.0,2.54,9.0,Clear sky,66.6434,27.7384,06:18 AM,06:38 PM,
,,Lasbela,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Dera Murad Jamali,36.33,35.5,36.33,36.33,25.0,1000.0,4.06,0.0,Clear sky,68.2231,28.5466,06:12 AM,06:32 PM,
Pakistan,Balochistan,Mastung,25.96,25.96,25.96,25.96,15.0,1007.0,4.89,0.0,Clear sky,66.845,29.7994,06:17 AM,06:38 PM,
Pakistan,Balochistan,Chaman,28.39,26.9,28.39,28.39,12.0,1005.0,2.57,0.0,Clear sky,66.4512,30.9236,06:18 AM,06:40 PM,
Pakistan,Balochistan,Pishin,27.3,26.13,27.3,27.3,13.0,1005.0,3.14,0.0,Clear sky,66.9961,30.5803,06:16 AM,06:38 PM,
Pakistan,Balochistan,Loralai,27.28,26.52,27.28,27.28,28.0,1005.0,5.41,0.0,Clear sky,68.598,30.3705,06:10 AM,06:31 PM,
,,Jaffarabad,,,,,,,,,,,,,,Error fetching data: 404
,,Killa Abdullah,,,,,,,,,,,,,,Error fetching data: 404
,,Killa Saifullah,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Nushki,31.58,29.41,31.58,31.58,12.0,1004.0,2.45,0.0,Clear sky,66.0215,29.5542,06:20 AM,06:41 PM,
Pakistan,Balochistan,Dalbandin,34.16,31.61,34.16,34.16,11.0,1002.0,2.7,16.0,Few clouds,64.4101,28.8947,06:27 AM,06:47 PM,
Pakistan,Balochistan,Ziarat,18.72,17.48,18.72,18.72,32.0,1010.0,1.96,0.0,Clear sky,67.7282,30.3823,06:13 AM,06:35 PM,
Pakistan,Balochistan,Qila Saifullah,27.26,26.44,27.26,27.26,26.0,1005.0,6.93,0.0,Clear sky,68.3599,30.7013,06:11 AM,06:32 PM,
Pakistan,Balochistan,Sibi,37.95,36.82,37.95,37.95,21.0,1000.0,3.34,0.0,Clear sky,67.8764,29.5448,06:13 AM,06:34 PM,
,,Jhal Magsi,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Dera Bugti,33.77,32.82,33.77,33.77,29.0,1003.0,2.81,0.0,Clear sky,69.151,29.0307,06:08 AM,06:29 PM,
Pakistan,Balochistan,Kharan,34.51,31.92,34.51,34.51,11.0,1002.0,2.16,0.0,Clear sky,65.4167,28.5833,06:23 AM,06:43 PM,
Pakistan,Balochistan,Panjgur,32.01,30.42,32.01,32.01,26.0,1003.0,5.73,6.0,Clear sky,64.0903,26.9645,06:29 AM,06:48 PM,
Pakistan,Balochistan,Awaran,31.82,33.16,31.82,31.82,46.0,1003.0,7.99,0.0,Clear sky,65.2312,26.4555,06:24 AM,06:43 PM,
,,Ghanche,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Garmab,27.48,26.35,27.48,27.48,18.0,1004.0,6.99,60.0,Broken clouds,47.037,34.8233,07:34 AM,07:59 PM,
Pakistan,Balochistan,Barkhan,28.68,27.79,28.68,28.68,33.0,1005.0,5.59,60.0,Broken clouds,69.5256,29.8977,06:06 AM,06:27 PM,
Pakistan,Balochistan,Harnai,30.02,29.01,30.02,30.02,33.0,1005.0,4.04,0.0,Clear sky,67.9374,30.1005,06:12 AM,06:34 PM,
,,Musa Khel,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Rakhni,27.77,27.47,27.77,27.77,40.0,1006.0,4.02,4.0,Clear sky,69.9251,30.0446,06:04 AM,06:26 PM,
,,Kallat,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Bela,28.23,31.41,28.23,28.23,72.0,1002.0,1.09,100.0,Overcast clouds,81.9833,25.9333,05:17 AM,05:36 PM,
Pakistan,Balochistan,Nasirabad,27.09,28.2,27.09,27.09,60.0,1005.0,2.34,0.0,Clear sky,74.7333,26.3,05:46 AM,06:05 PM,
,,Tump,,,,,,,,,,,,,,Error fetching data: 404
Pakistan,Balochistan,Kahan,28.62,27.14,28.62,28.62,18.0,1018.0,7.79,51.0,Broken clouds,33.8196,51.445,08:20 AM,08:59 PM,
Pakistan,Balochistan,Shahdadkot,34.49,32.71,34.49,34.49,22.0,1000.0,0.73,1.0,Clear sky,67.9055,27.8477,06:13 AM,06:33 PM,
Pakistan,Balochistan,Ormara,27.1,30.27,27.1,27.1,83.0,1004.0,6.57,0.0,Clear sky,64.6357,25.2088,06:27 AM,06:45 PM,
